English Term,English Def.,Arabic Term,Arabic Def.,French Term,French Def.,Refined  English Def.,Refined French Def.
Computational Learning Theory,"A field of artificial intelligence that focuses on all aspects of designing and analyzing machine learning algorithms to identify learnable problems. Also called ""Learning Theory.""",نظرية التعلُّم الحوسبي,"مجال في الذكاء الاصطناعي يركز على جميع جوانب التصميم لخوارزميات تعلُّم الآلة وتحليلها؛ لتحديد المشكلات التي يمكن تعلُّمها. ويُطلق عليه أيضًا ""نظرية التعلُّم"".",Théorie de l’apprentissage computationnel,"Domaine de l’IA qui conçoit et analyse des algorithmes d’apprentissage afin d’identifier les problèmes apprenables. Également appelé "" théorie de l’apprentissage "".",,
Computational Linguistics,A scientific field concerned with understanding human language from a computational perspective.,لغويات حوسبية,مجال علمي يهتم بفهم لغة الإنسان من منظور حوسبي.,Linguistique computationnelle,Discipline scientifique visant à comprendre le langage humain sous un angle computationnel.,,
Computational Neuroscience,A field that focuses on using computational tools and techniques to study the brain and nervous system.,علم الأعصاب الحوسبي,مجال يركز على استخدام الأدوات والأساليب الحوسبية لدراسة الدماغ والجهاز العصبي.,Neuroscience computationnelle,Domaine utilisant des outils et techniques computationnels pour étudier le cerveau et le système nerveux.,,
Computer Vision,"A field of artificial intelligence that focuses on analyzing and understanding visual data (images and videos). Also called ""Machine Vision.""",رؤية الحاسب,"مجال في الذكاء الاصطناعي يركز على تحليل البيانات المرئية (صور وفيديوهات) وفهم محتواها. ويُطلق عليه أيضًا ""رؤية الآلة"".",Vision par ordinateur,"Domaine de l’IA dédié à l’analyse et la compréhension de données visuelles (images, vidéos). Également appelé "" vision machine "".",,
Computer-Aided Detection (CADe),A system that assists clinical diagnosis tasks by automated detection in medical records.,اكتشاف بمساعدة الحاسب,نظام يساعد في مهام التشخيص السريري عن طريق الاكتشاف المؤتمت في السجلات الطبية.,Détection assistée par ordinateur (CADe),Système qui assiste les tâches de diagnostic clinique grâce à la détection automatisée dans les dossiers médicaux.,,
Concept Drift,An unexpected change that happens over time to the statistical properties of the target variable.,انجراف المفهوم,تغيُّر غير متوقع في الخصائص الإحصائية للمتغير المستهدف، يحدث بمرور الوقت.,Dérive de concept,"Changement imprévu, au fil du temps, des propriétés statistiques de la variable cible.",,
Conditional Model,"See ""Discriminative Model.""",نموذج شَرطي,"انظر ""نموذج تمييزي"".",Modèle conditionnel,"Voir "" Modèle discriminant "".",,
Conditional Probability,A probability measure of an event occurring on the condition that another event has already occurred.,احتمال شَرطي,قياس لاحتمال وقوع حدث معين مسبوق بحدث آخر.,Probabilité conditionnelle,Mesure de probabilité d’un événement sachant qu’un autre événement s’est déjà produit.,,
Confidence Interval,A type of interval estimate that contains the range of values required to match the confidence level for estimating the features of observed data.,نطاق الثقة,نوع من تقدير النطاق الذي يشتمل على مجموعة من القيم المطلوبة لمطابقة مستوى الثقة في تقدير خصائص البيانات المرصودة.,Intervalle de confiance,Intervalle qui contient l’ensemble des valeurs compatibles avec un niveau de confiance pour estimer des caractéristiques des données observées.,,
Confirmation Bias ,The tendency of favoring information that confirms preexisting beliefs or hypotheses.,تحيُّز تأكيدي,الميل إلى تفضيل المعلومات التي تؤكد المعتقدات أو الفرضيات الموجودة سابقًا.,Biais de confirmation,Tendance à privilégier les informations confirmant des croyances ou hypothèses préexistantes.,,
Confusion Matrix,A matrix that summarizes the performance of a classification model and shows how successful the predictions were.,مصفوفة الدقة,مصفوفة تلخص أداء نموذج التصنيف، وتوضح مدى نجاح التنبؤات.,Matrice de confusion,Tableau résumant la performance d’un modèle de classification et indiquant la réussite des prédictions.,,
Connectionism,A type of cognitive modeling that uses artificial neural networks to explain intellectual abilities.,تشابكية,نوع من النمذجة الإدراكية يستخدم الشبكات العصبية الاصطناعية؛ لشرح القدرات الفكرية.,Connexionnisme,Modélisation cognitive s’appuyant sur des réseaux de neurones artificiels pour expliquer les capacités intellectuelles.,,
Constitutional Artificial Intelligence,A method to make AI systems more aligned with human values and ethics by creating a set of rules or principles to guide their behavior.,ذكاء اصطناعي دستوري,طريقة لجعل أنظمة الذكاء الاصطناعي أكثر توافقًا مع القيم والأخلاق الإنسانية؛ عن طريق إنشاء مجموعة من القواعد أو المبادئ توجِّه سلوكها.,Intelligence artificielle constitutionnelle,Méthode visant à mieux aligner l’IA sur les valeurs humaines en définissant un ensemble de règles ou principes guidant son comportement.,,
Constraint Satisfaction,A decision problem with finite choices and the objective is to satisfy a given set of constraints by finding values for a set of variables.,تلبية القيود,مشكلة تتعلق باتخاذ القرار مع محدودية الخيارات، والهدف هو تلبية مجموعة معينة من القيود عن طريق إيجاد قيم مجموعة من المتغيرات.,Satisfaction de contraintes,Problème de décision avec choix finis où l’objectif est de satisfaire un ensemble de contraintes en assignant des valeurs à des variables.,,
