English Term,English Def.,Arabic Term,Arabic Def.
Data Engineering,"A field that focuses on designing, building, and maintaining the infrastructure and systems needed to support the collection, processing, storage, and analysis of large volumes of data.",هندسة البيانات,مجال يركز على التصميم والبناء والصيانة للبنية التحتية والأنظمة اللازمة لدعم جمع كميات كبيرة من البيانات ومعالجتها وتخزينها وتحليلها.
Data Ethics,"The principles and standards that govern the collection, processing, sharing, and use of data.",أخلاقيات البيانات,المبادئ والمعايير التي تحكم جمع البيانات ومعالجتها ومشاركتها واستخدامها.
Data Exhaust,Any information produced as a byproduct of digital activities.,بيانات ثانوية,أي معلومات تنتج بطريقة ثانوية من الأنشطة الرقمية.
Data Exploration,"See ""Exploratory Data Analysis (EDA).""",استكشاف البيانات,"انظر ""تحليل البيانات الاستكشافي""."
Data Fabric,An architecture for data management and integration that provides consistent capabilities across multiple environments.,نسيج البيانات,معمارية لإدارة البيانات وتكاملها، توفر إمكانات متسقة عبر بيئات متعددة.
Data Feed,A way to provide users with updated data from data sources.,تغذية البيانات,طريقة لتزويد المستخدمين ببيانات مُحَدَّثة من مصادر البيانات.
Data Fishing,"See ""Data Dredging.""",تصيُّد في البيانات,"انظر ""تلاعب بالبيانات""."
Data Fusion,The process of combining data from different sources to provide more consistent and accurate information.,دمج البيانات,عملية دمج البيانات من مصادر مختلفة لتوفير معلومات أكثر اتساقًا ودقة.
Data Governance,"The policies, processes, and organizational structures that define the decision rights and accountabilities to support data management.",حوكمة البيانات,السياسات والعمليات والهياكل التنظيمية التي تحدد حقوق اتخاذ القرار ومسؤوليات دعم إدارة البيانات.
Data Harmonization,The process of combining disparate data into a consistent format to facilitate their access and analysis.,تنسيق البيانات,عملية دمج البيانات المتباينة في صيغة متسقة لتسهيل الوصول إليها وتحليلها.
Data Hub,"A central repository for collecting, storing, managing, and sharing data collected from multiple sources.",مِحْوَر البيانات,مستودع مركزي لجمع البيانات من مصادر متعددة وتخزينها وإدارتها ومشاركتها.
Data Hygiene,"The process of maintaining accurate, complete, and consistent data within a system or database.",نظافة البيانات,عملية الحفاظ على بيانات دقيقة كاملة متسقة داخل نظام أو قاعدة بيانات.
Data Instance,A selection of a data item from a datatype or a dataset.,عينة بيانات,تحديد عنصر بيانات من نوع بيانات أو مجموعة بيانات.
Data Integration,The process of combining data residing in different sources into a meaningful unified view to users.,تكامل البيانات,عملية دمج لبيانات من مصادر مختلفة، في عرض موحد وواضح للمستخدمين.
Data Integrity,"The trust measure for data accuracy, completeness, consistency, and compliance with regulations.",صحة البيانات,مقياس ثقة للتحقق من دقة البيانات واكتمالها واتساقها وامتثالها للوائح.
Data Intelligence,The use of AI technologies to analyze and interpret data.,ذكاء البيانات,استخدام تقنيات الذكاء الاصطناعي لتحليل البيانات وتفسيرها.
Data Labeling,"See ""Data Annotation.""",تسمية البيانات,"انظر ""توصيف البيانات""."
Data Lake,A repository for storing a large amount of raw data in different formats.,بحيرة البيانات,مستودع لتخزين كميات كبيرة من البيانات الأولية بصيغ مختلفة.
